name,type,list_price,taxes_id
Allumawood Patio Cover - Gutter Clean,service,0.0,
Ceiling Fans Cleaned,service,0.0,
Clean Gutters,service,0.0,
Clean Plexi Glass,service,0.0,
Clean Tracks,service,0.0,
Clean Up Yard,service,0.0,
Clean up Yard,service,0.0,
Cob Web Cleaning,service,0.0,
Commercial Window Cleaning,service,0.0,
Construction Cleanup,service,0.0,
Discount,service,0.0,
Dry Brush Screens,service,0.0,
First Story Window Panes - Inside & Outside,service,0.0,
French Door or Window,service,0.0,
Garage Door,service,0.0,
Garage Door Windows Cleaned - Cut Outs,service,0.0,
Garage Door Windows Cleaned - No Cut Outs,service,0.0,
Glass Sliding Doors - Inside & Outside,service,0.0,
Gutter Foam Install,service,0.0,
Gutter Inspection,service,0.0,
Hard Water Stain Removal,service,0.0,
Install Downspout,service,0.0,
Install Gutter Guard,service,0.0,
Install New Track,service,0.0,
Lights And Ceiling Fan Cleaned,service,0.0,
Lights and Ceiling Fan Cleaned,service,0.0,
Mirrors Cleaned,service,0.0,
Miscellaneous,service,0.0,
Move Furniture,service,0.0,
Multiple Services Discount,service,0.0,
Outside Windows And Screens,service,0.0,
Outside Windows And Screens Wet Screen,service,0.0,
Outside Windows Only,service,0.0,
Outside windows and Screens,service,0.0,
Per Pane Price,service,0.0,
Pre-Soak Panels,service,0.0,
Pressure Wash,service,0.0,
Repair Roof Tile(s),service,0.0,
Rush Priority Service,service,0.0,
Screen Door Grille,service,0.0,
Screen Door wheels,service,0.0,
Screen Doors,service,0.0,
Screen Repair,service,0.0,
Screens - New,service,0.0,
Second Story Window Panes - Inside & Outside,service,0.0,
Senior Discount,service,0.0,
Shower Enclosure,service,0.0,
Shower Glass,service,0.0,
Single Story Window Panes - Inside & Outside,service,0.0,
Single Story Window Panes - Outside Only,service,0.0,
Sky Light,service,0.0,
Soft Wash,service,0.0,
Solar Panel Cleaning,service,0.0,
Solar Panel Cleaning - First Story,service,0.0,
Solar Panel Cleaning - Second Story,service,0.0,
Solar Panel Cleaning - Single Story,service,0.0,
Solar Panel Cleaning - Single Story   (6.00),service,0.0,
Tip,service,0.0,
Touch Up,service,0.0,
Tracks,service,0.0,
Vacuum Tracks,service,0.0,
Vacuum Tracks - Per Track,service,0.0,
Velasquez Interiors,service,0.0,
WD-40 Tracks,service,0.0,
Weather Stripping - Bug Flap,service,0.0,
Weekend Appointment,service,0.0,
Wet Bruh Screen,service,0.0,
Wet Brush Screen,service,0.0,
Windows Full,service,0.0,
Windows In & Out - Full Service,service,0.0,
Windows In & Out - Full Service   (100.00),service,0.0,
Windows In & Out - Full Servicee,service,0.0,
Workiz service fee,service,0.0,
XERO PURE Screen Clean,service,0.0,
Xero WET SCREEN Cleaner,service,0.0,
