id,name,list_price,type,Workiz Product Number
__export__.product_template_75_626a6995,Allumawood Patio Cover - Gutter Clean,0,Service,
__export__.product_template_76_982aeae2,Ceiling Fans Cleaned,0,Service,
__export__.product_template_77_f5cd2ea0,Clean Gutters,0,Service,
__export__.product_template_78_1f88646e,Clean Plexi Glass,0,Service,
__export__.product_template_79_052e158e,Clean Tracks,0,Service,
__export__.product_template_80_6fdb78e9,Clean Up Yard,0,Service,
__export__.product_template_157_8fd9014c,Clean up Yard,1,Service,
__export__.product_template_81_4680e1ba,Cob Web Cleaning,0,Service,
__export__.product_template_82_57268f2c,Commercial Window Cleaning,0,Service,
__export__.product_template_83_ec9096d4,Construction Cleanup,0,Service,
__export__.product_template_84_43b924f6,Discount,0,Service,
__export__.product_template_85_79ba824b,Dry Brush Screens,0,Service,
__export__.product_template_86_fab7839f,First Story Window Panes - Inside & Outside,0,Service,
__export__.product_template_87_c4f62e97,French Door or Window,0,Service,
__export__.product_template_153_06e25144,French Door or Window ,1,Service,
__export__.product_template_88_0eae1361,Garage Door,0,Service,
__export__.product_template_89_18813a01,Garage Door Windows Cleaned - Cut Outs,0,Service,
__export__.product_template_90_4f4c06a2,Garage Door Windows Cleaned - No Cut Outs,0,Service,
__export__.product_template_91_f442470f,Glass Sliding Doors - Inside & Outside,0,Service,
__export__.product_template_92_cb4954b1,Gutter Foam Install,0,Service,
__export__.product_template_93_d389c51b,Gutter Inspection,0,Service,
__export__.product_template_94_5257be7c,Hard Water Stain Removal,0,Service,
__export__.product_template_95_8bc65a55,Install Downspout,0,Service,
__export__.product_template_96_f82ff228,Install Gutter Guard,0,Service,
__export__.product_template_97_41135818,Install New Track,0,Service,
__export__.product_template_149_b8033ae9,Legacy Service,1,Service,
__export__.product_template_98_8c66700d,Lights And Ceiling Fan Cleaned,0,Service,
__export__.product_template_159_650b5bc5,Lights and Ceiling Fan Cleaned,1,Service,
__export__.product_template_99_b0e8d8df,Mirrors Cleaned,0,Service,
__export__.product_template_100_0739fbf6,Miscellaneous,0,Service,
__export__.product_template_101_873d9a86,Move Furniture,0,Service,
__export__.product_template_102_3b84e5f4,Multiple Services Discount,0,Service,
__export__.product_template_156_c3e08d27,Multiple Services Discount ,1,Service,
__export__.product_template_103_d9ffa32a,Outside Windows And Screens,0,Service,
__export__.product_template_104_0b6aa26a,Outside Windows And Screens Wet Screen,0,Service,
__export__.product_template_105_b8864cbb,Outside Windows Only,0,Service,
__export__.product_template_106_95e3e077,Per Pane Price,0,Service,
__export__.product_template_107_a1728b23,Pre-Soak Panels,0,Service,
__export__.product_template_108_364d9da6,Pressure Wash,0,Service,
__export__.product_template_109_8882d2f4,Repair Roof Tile(s),0,Service,
__export__.product_template_110_d16c4e11,Rush Priority Service,0,Service,
__export__.product_template_111_25b64147,Screen Door Grille,0,Service,
__export__.product_template_112_6c604146,Screen Door wheels,0,Service,
__export__.product_template_113_634826a0,Screen Doors,0,Service,
__export__.product_template_114_6b1a6e6d,Screen Repair,0,Service,
__export__.product_template_115_40e99f36,Screens - New,0,Service,
__export__.product_template_116_1ebcb37d,Second Story Window Panes - Inside & Outside,0,Service,
__export__.product_template_117_2349d097,Senior Discount,0,Service,
__export__.product_template_118_0f7b69b6,Shower Enclosure,0,Service,
__export__.product_template_119_0430027f,Shower Glass,0,Service,
__export__.product_template_120_57009655,Single Story Window Panes - Inside & Outside,0,Service,
__export__.product_template_121_43fe7170,Single Story Window Panes - Outside Only,0,Service,
__export__.product_template_122_d8ec42ac,Sky Light,0,Service,
__export__.product_template_123_cba91087,Soft Wash,0,Service,
__export__.product_template_124_874e0716,Solar Panel Cleaning,0,Service,
__export__.product_template_125_3c5e5e72,Solar Panel Cleaning - First Story,0,Service,
__export__.product_template_126_2f395dbd,Solar Panel Cleaning - Second Story,0,Service,
__export__.product_template_127_8446268f,Solar Panel Cleaning - Single Story,0,Service,
__export__.product_template_128_72695303,Solar Panel Cleaning - Single Story   (6.00),0,Service,
__export__.product_template_2_d8731b68,Tip,0,Service,
__export__.product_template_130_198a4bbc,Touch Up,0,Service,
__export__.product_template_131_1b06bfbe,Tracks,0,Service,
__export__.product_template_132_876fb323,Vacuum Tracks,0,Service,
__export__.product_template_133_ba45acd7,Vacuum Tracks - Per Track,0,Service,
__export__.product_template_134_f22cc9ce,Velasquez Interiors,0,Service,
__export__.product_template_135_07027624,WD-40 Tracks,0,Service,
__export__.product_template_136_5718287b,Weather Stripping - Bug Flap,0,Service,
__export__.product_template_137_1d790c39,Weekend Appointment,0,Service,
__export__.product_template_152_c8d3dbd2,Weekend Appointment ,1,Service,
__export__.product_template_138_7ef797b0,Wet Bruh Screen,0,Service,
__export__.product_template_139_cedfca82,Wet Brush Screen,0,Service,
__export__.product_template_140_6a9dd7ac,Windows Full,0,Service,
__export__.product_template_141_4fe32e19,Windows In & Out - Full Service,0,Service,
__export__.product_template_142_eb605494,Windows In & Out - Full Service   (100.00),0,Service,
__export__.product_template_143_9275cea3,Windows In & Out - Full Servicee,0,Service,
__export__.product_template_144_6b7c08f8,Workiz service fee,0,Service,
__export__.product_template_145_7d5eef26,XERO PURE Screen Clean,0,Service,
__export__.product_template_146_3fd72e44,Xero WET SCREEN Cleaner,0,Service,
