mode,APPLY

section,model,source_id,tag_name,status,project_tag_id
source_scan,res.partner.category,246,Fill,missing_from_project_tags,
source_scan,res.partner.category,248,Moved,missing_from_project_tags,
source_scan,res.partner.category,245,Snow Bird,missing_from_project_tags,
source_scan,res.partner.category,233,Star,missing_from_project_tags,
source_scan,res.partner.category,222,CF,missing_from_project_tags,
source_scan,res.partner.category,223,Fill,missing_from_project_tags,
source_scan,res.partner.category,224,Moved,missing_from_project_tags,
source_scan,res.partner.category,225,OK,missing_from_project_tags,
source_scan,res.partner.category,226,Ok,missing_from_project_tags,
source_scan,res.partner.category,227,Snow Bird,missing_from_project_tags,
source_scan,res.partner.category,228,Star,missing_from_project_tags,
source_scan,res.partner.category,229,TBD,missing_from_project_tags,
source_scan,res.partner.category,230,TXT SENT,missing_from_project_tags,
source_scan,res.partner.category,231,WAIT,missing_from_project_tags,
source_scan,crm.tag,1,Test,missing_from_project_tags,
source_scan,crm.tag,2,test1,missing_from_project_tags,
source_scan,crm.tag,3,Fill,missing_from_project_tags,
source_scan,crm.tag,4,Moved,missing_from_project_tags,
source_scan,crm.tag,5,Snow Bird,missing_from_project_tags,
source_scan,crm.tag,6,Star,missing_from_project_tags,
source_scan,crm.tag,7,CF,missing_from_project_tags,
source_scan,crm.tag,8,Fill,missing_from_project_tags,
source_scan,crm.tag,9,Moved,missing_from_project_tags,
source_scan,crm.tag,10,OK,missing_from_project_tags,
source_scan,crm.tag,11,Ok,missing_from_project_tags,
source_scan,crm.tag,12,Snow Bird,missing_from_project_tags,
source_scan,crm.tag,13,Star,missing_from_project_tags,
source_scan,crm.tag,14,TBD,missing_from_project_tags,
source_scan,crm.tag,15,TXT SENT,missing_from_project_tags,
source_scan,crm.tag,16,WAIT,missing_from_project_tags,
create_action,project.tags,,CF,created,1
create_action,project.tags,,Fill,created,2
create_action,project.tags,,Moved,created,3
create_action,project.tags,,OK,created,4
create_action,project.tags,,Ok,created,5
create_action,project.tags,,Snow Bird,created,6
create_action,project.tags,,Star,created,7
create_action,project.tags,,TBD,created,8
create_action,project.tags,,TXT SENT,created,9
create_action,project.tags,,Test,created,10
create_action,project.tags,,WAIT,created,11
create_action,project.tags,,test1,created,12
