"Name","Category","Color","External ID","ID"
" Fill","","4","__export__.res_partner_category_246_753d4f89","246"
" Moved","","8","__export__.res_partner_category_248_454a023a","248"
" Snow Bird","","9","__export__.res_partner_category_245_8a16def6","245"
" Star","","8","__export__.res_partner_category_233_16672731","233"
"CF","","11","__export__.res_partner_category_222_dcf4d269","222"
"Fill","","2","__export__.res_partner_category_223_7c5b8074","223"
"Moved","","1","__export__.res_partner_category_224_080b399e","224"
"OK","","11","__export__.res_partner_category_225_554b14ae","225"
"Ok","","8","__export__.res_partner_category_226_ec454e56","226"
"Snow Bird","","2","__export__.res_partner_category_227_92a4805e","227"
"Star","","4","__export__.res_partner_category_228_86975f75","228"
"TBD","","5","__export__.res_partner_category_229_42c6e068","229"
"TXT SENT","","7","__export__.res_partner_category_230_7c8edf90","230"
"WAIT","","3","__export__.res_partner_category_231_c446fa56","231"
